"work","status_year","source","license_note","code_availability","inspected_files_functions","mechanism_summary","failure_relevance","novelty_pressure","relevance_score","action"
"3D-4DGS","ICCV 2025 project/code","https://ohsngjun.github.io/3D-4DGS/ ; https://github.com/ohsngjun/3D-4DGS","MIT","Full trainer/model code cloned","scene/gaussian_model.py:94-151 static and 4D tensors; scene/gaussian_model.py:404-463 initialization and optimizer groups; scene/gaussian_model.py:764-832 static/dynamic densify and dynamic2static; main.py:130-316 static visibility, gradients, densify","Hybrid static 3D bank plus dynamic 4D Gaussians; converts long-temporal-scale dynamic points to static; separate static densification.","Addresses static/dynamic split and leakage partially, but temporal-scale conversion is not explicit boundary ownership or reveal memory.","Static/dynamic split is crowded prior art; ADAGS claim must be event/visibility ownership plus matched-budget reassignment, not just another split bank.","7.5","Use as comparator and fallback design pressure; do not adopt as the first overhaul."
"4C4D","2025/2026 code audit seed","https://github.com/yangzf-1023/4C4D","MIT for repo plus Gaussian-Splatting license for inherited components","Full trainer/model code cloned","gaussian_renderer/__init__.py:66-75 space/time visibility gating; gaussian_renderer/__init__.py:129-205 depth/flow outputs; scene/gaussian_model.py:584-622 opacity_decay; module/__init__.py:1-36 Coefficient MLP; train.py:130-252 visibility and densify/prune loop","Visibility and time-activity gated opacity decay with optional learned coefficient; renderer exposes depth/flow.","Relevant to static leakage and blur by changing opacity where visible/time-active, but does not allocate ownership to hidden/revealed surfaces.","Visibility-conditioned opacity is prior art; ADAGS should include a visibility-only control and avoid claiming this alone.","8.0","Use as a visibility-only comparator/control, not the selected mechanism."
"USplat4D","ICLR 2026 project/code","https://tamu-visual-ai.github.io/usplat4d/ ; https://github.com/TAMU-Visual-AI/usplat4d","MIT in USplat4d_vMoSca/LICENSE","Full code cloned","USplat4d_vMoSca/lib_ugraph/ugraph_model4.py:1-220 uncertainty graph rigidity and key/non-key interpolation; USplat4d_vMoSca/lib_mosca/dynamic_gs.py:1-180 DynSCFGaussian; profile/*/*_fit*.yaml track, ARAP, dynamic init settings","Uncertainty graph over a MoSca-like dynamic Gaussian/scaffold model; key/non-key graph interpolation and rigidity constraints.","Relevant to uncertainty/visibility calibration and motion robustness, less direct for surface reveal ownership.","Uncertainty-aware dynamic reconstruction is current SOTA; ADAGS should keep uncertainty as calibration/risk evidence after deterministic Gate A, not as a premature learned field.","7.5","Borrow calibration pressure only; do not replace the current deterministic evidence path."
"VAD-GS","2026 project/code","https://github.com/YikangZhang1641/VAD-GS","MIT","Full code cloned","lib/models/trellis.py:120-150 voxel visibility; lib/models/trellis.py:180-225 render_voxel_depth; lib/models/trellis.py:229-370 vacancy/view-pair selection; lib/models/trellis.py:437-540 depth propagation; lib/models/gaussian_model_actor.py:343-540 densify_from_depth_propagation","Voxel visibility table, vacancy detection, diverse source-view selection, and depth-propagated actor Gaussian growth.","Closest audited code to visibility-guided missing surface construction; addresses reveal/missing geometry but grows geometry and assumes actor/scene structure.","Strong novelty pressure: ADAGS needs to distinguish target-independent surface-event evidence and point-neutral reassignment from visibility-guided net growth.","9.0","Use as closest prior-art comparator; selected ADAGS claim must stay point-neutral and label-free in training."
"Proxy-GS","2025/2026 code audit seed","https://github.com/Visionary-Laboratory/Proxy-GS","Gaussian-Splatting noncommercial research license","Full code cloned","train.py:124-149 depth cache; train.py:221-259 depth/proxy visible voxel prefilter; train.py:345-404 high-loss patch anchor growth; gaussian_renderer/__init__.py:417-492 prefilter_voxel; scene/gaussian_model.py:1031-1104 anchor_growing_by_mesh","Proxy mesh/depth culling and high-loss patch guided anchor growth from depth/mesh samples.","Relevant to blur and missing high-loss regions, but it is static/proxy driven and grows anchors.","Proxy/depth growth is crowded and not matched-budget; ADAGS should only use proxy/depth as selective evidence or a quality-capacity tradeoff claim.","8.0","Use as comparator pressure; do not make net-growth the primary mechanism."
"4DGaussians","CVPR 2024 baseline/code","https://github.com/hustvl/4DGaussians","Apache-2.0","Full trainer/model code cloned","scene/deformation.py:17-215 HexPlane plus deformation MLP; scene/hexplane.py:109-181 4D HexPlane field; scene/regulation.py:24-174 TV/time regularizers; train.py and gaussian_renderer inspected via grep","HexPlane spatiotemporal deformation field predicts position, scale, rotation, opacity, and SH deltas.","General dynamic reconstruction baseline; can improve motion capacity but does not isolate ADAGS boundary leakage/reveal failure.","Generic deformation capacity is old/crowded; route0 LoRA failure should not be answered by another uncalibrated capacity sweep.","5.0","Background comparator only."
"Dynamic3DGaussians","CVPR 2024 baseline/code","https://github.com/JonathonLuiten/Dynamic3DGaussians","MIT for repo code except inherited external components","Compact full trainer code cloned","train.py:23-26 segmentation input; train.py:79-128 image/seg/rigid/rot/iso/floor/bg losses; train.py:132-169 neighbor state; train.py:206-211 densify loop; helpers.py:23-41 render variables","Persistent Gaussians with foreground segmentation, local rigidity/rotation/isometry losses, background no-harm, and densification.","Addresses some blur and static no-harm, but assumes foreground segmentation and persistent particle regularity.","Shows plain rigidity/segmentation losses are not novel enough for current ADAGS claim.","5.0","Use as historical baseline family."
"MoSca","2024/2025 project/code","https://github.com/JiahuiLei/MoSca","MIT","Full code cloned","lib_mosca/mosca.py:26-120 motion scaffold topology and certainty; lib_mosca/dynamic_gs.py:1-180 DynSCFGaussian with skinning/dynamic logits; lib_mosca/photo_recon_utils.py:560-635 error-mask dynamic growth; lib_mosca/photo_recon.py:222-469 static/dynamic photo reconstruction setup","Motion scaffold with dual-quaternion skinning, dynamic Gaussians, static model, track/ARAP losses, and error-mask growth.","Relevant to motion blur and scaffold variants, but ADAGS local evidence already found scaffold scaling negative; growth is not budget-neutral.","Scaffold claims are crowded; ADAGS should not revive scaffold scaling without a new surface-event mechanism.","7.0","Keep as design pressure and fallback support only."
"Shape of Motion","2024/2025 project/code","https://github.com/vye16/shape-of-motion","MIT","Full code cloned","flow3d/params.py:100-230 GaussianParams and MotionBases; flow3d/scene_model.py:12-180 foreground/background model and motion-basis transforms; flow3d/init_utils.py:40-116 track/background initialization; flow3d/validator.py:46-148 fg/bg metrics","Foreground and background Gaussians with motion bases initialized from 3D tracks; validation reports fg/bg metrics.","Relevant to motion capacity and fg/bg diagnostics, but not to hidden/revealed surface ownership.","Motion-basis foreground models are prior art; ADAGS needs visibility-event evidence and no-human-label training boundary.","6.5","Use for metrics/fallback comparison, not first implementation."
"RiGS","2025/2026 code audit seed","https://github.com/ladvu/RiGS","No top-level license found in clone","Full code cloned","src/scene/gaussian.py:226-305 dynamic Gaussian model with motion bases and lifespan decay; src/scene/gaussian.py:401-493 static/dynamic/transient bank routing; src/runner/fused.py:55-167 setup static and motion-base splats; src/runner/fused.py:308-440 static/dynamic/transient train loop and transient selection","Static, dynamic, and transient Gaussian banks with motion bases, temporal centers, lifespans, and separate training strategies.","Relevant to layered/transient surface memory and fast intermittent regions.","Layered/transient banks are close prior art; ADAGS should only move here if Slice B fails after Gate A, and the claim must include calibrated ownership/reassignment.","7.0","Rank as Route-3 fallback, not current selected move."
